 "players_name" , "team_name" ,
 "Lu Jiang" , "Běijīng Kònggǔ" ,
 "Mohammed Yasser Mohamadi" , "Al-Kharaitiyat SC" ,
 "Kerem Can Akyüz" , "Alanyaspor" ,
 "Uğur Akdemir" , "Balıkesirspor Kulübü" ,
 "David John Artell" , "Bala Town" ,
 "Nashat Akram Abid Ali" , "Al Shorta" ,
 "Georgios Bantis" , "Asteras Tripolis" ,
 "Issiar Dia" , "Al-Kharaitiyat SC" ,
 "Serkan Yalçın" , "Boluspor" ,
 "Shinya Hatta" , "Blaublitz Akita" ,
 "Shinya Hatta" , ブラウブリッツ秋田 ,
 "Waleed Jassem Abdulla Jasemi" , "Al-Kharaitiyat SC" ,
 "Gerardo Daniel Ruíz Barragán" , "Atlante" ,
 "Maupo Msowoya" , "Big Bullets FC" ,
 "Madiou Konate" , "Al-Yarmouk" ,
 "Ángel Santiago Barboza Manzzi" , "Atenas" ,
 "Theresa Nielsen" , "Brøndby IF" ,
 "Ganiyu Bolayi Oseni" , "Becamex Bình Dương" ,
 "Aleksandar Prijović" , "Boluspor" ,
 "Abdulaziz Rashid Al Ansari" , "Al-Kharaitiyat SC" ,
 "Mohd Hendra Azam bin Mohd Idris" , "DPMM FC" ,
 "Hamdi Faisal Al Masri" , "Al Shorta" ,
 "Nguyễn Trọng Hoàng" , "Becamex Bình Dương" ,
 "Mai Tiến Thành" , "Becamex Bình Dương" ,
 "Peter Mponda" , "Big Bullets FC" ,
 "Bernard Okorowanta" , "Bayelsa United" ,
 "David Michel Acosta Márquez" , "Atenas" ,
 "Mutiu Adeleke Adegoke" , "Bayelsa United" ,
 "Iván Pérez Vicente" , "Atlético Madrid B" ,
 "Amjad Kalaf Mansour Al-Muntafiq" , "Al Shorta" ,
 "Andrés Robles" , "Atlético Madrid B" ,
 "Jimmy Bermúdez Valencia" , "Atlante" ,
 "Yan Xiangchuang" , "Beijing Enterprises" ,
 "Yan Xiangchuang" , "Běijīng Kònggǔ" ,
 "Claudio Adrian Caceres" , "Bayswater City" ,
 "Hellings Frank Mhango" , "Big Bullets FC" ,
 "Fernando Espinosa Barrera" , "Atlante" ,
 "Juan Antonio Portela Muñoz" , "Atlético Sanluqueño" ,
 "Daniel Aquino Pintos" , "Atlético Madrid B" ,
 "Katrine Veje" , "Brøndby IF" ,
 "Yussif Alhassan Chibsah" , "Alanyaspor" ,
 "Dorin Nicolae Goian" , "Asteras Tripolis" ,
 "Faraj Laheeb Saeed" , "Al-Yarmouk" ,
 "Sonny Alejandro Guadarrama Bermúdez" , "Atlante" ,
 "Awangku Muhammad Fakharazzi" , "DPMM FC" ,
 "bin Pengiran Hassan" , "DPMM FC" ,
 "Conall Francis Murtagh" , "Bala Town" ,
 "Aykut Çeviker" , "Balıkesirspor Kulübü" ,
 "Sairol Bin Haji Sahari" , "DPMM FC" ,
 "Herlison Caion de Sousa Ferreira" , "Al Shorta" ,
 "Innocent Felix Awoa Zoa" , "Al Shorta" ,
 "Sajmir Gjokeja" , "KS Besëlidhja Lezhë" ,
 "Chen Hao-wei" , "Beijing Enterprises" ,
 "Chen Hao-wei" , "Běijīng Kònggǔ" ,
 "Kimberley Turner" , "Blackburn Rovers Ladies" ,
 "Ryan David Valentine" , "Bala Town" ,
 "Aníbal Gabriel Alcoba Rebollo" , "Atenas" ,
 "Lü Peng" , "Beijing Enterprises" ,
 "Lü Peng" , "Běijīng Kònggǔ" ,
 "Joseph Finbar Gamble" , "DPMM FC" ,
 "Steven Paul Burton" , "Bayswater City" ,
 "Giannis Gianniotas" , "Asteras Tripolis" ,
 "Michael James Coyne" , "Bayswater City" ,
 "Kenneth Vincent Lunt" , "Bala Town" ,
 "Stéphane Lalaoui" , "Aurillac" ,
 "Muğdat Çelik" , "Balıkesirspor Kulübü" ,
 "Paul Grischok" , "Berliner AK 07" ,
 "Bilal Gülden" , "Boluspor" ,
 "Nicolás Villafañe" , "Atlético Sanluqueño" ,
 "Héctor José Hernández Marrero" , "Atlético Madrid B" ,
 "Daniel Espejo Guillén" , "Atlético Madrid B" ,
 "Bledar Marashi" , "KS Besëlidhja Lezhë" ,
 "Todd Howarth" , "Bayswater City" ,
 "Éric Tié Bi" , "Asteras Tripolis" ,
 "Mahdi Kamel Sheltagh" , "Al Shorta" ,
 "Marwan Hussein Hassan Al-Ajeeli" , "Al Shorta" ,
 "Waleed Salem Al-Lami" , "Al Shorta" ,
 "Boris Raspudić" , "DPMM FC" ,
 "Shota Imai" , "Blaublitz Akita" ,
 "Shota Imai" , ブラウブリッツ秋田 ,
 "Diego Alberto Gama García" , "Atlético Madrid B" ,
 "Bruno Montelongo Gesta" , "River Plate" ,
 "Juan Ángel Seguro Rodríguez" , "Izarra" ,
 "David Rochela Calvo" , บุรีรัมย์ ยูไนเต็ด ,
 "David Rochela Calvo" , "Buriram United" ,
 "Franco Coria" , "Sarmiento" ,
 "Therdsak Chaiman" , "Chonburi F.C." ,
 "Therdsak Chaiman" , ชลบุรี เอฟซี ,
 "Juliano Mineiro Fernandes" , "Chonburi F.C." ,
 "Juliano Mineiro Fernandes" , ชลบุรี เอฟซี ,
 "Jaime Turégano González" , "Club Deportivo Lealtad" ,
 "Emanuel Olivera" , "Almirante Brown" ,
 "Luis Ricardo Mejía Cajar" , "Fénix" ,
 "Juan Augusto Huerta" , "Flandria" ,
 "Sarawut Janthapan" , "Chonburi F.C." ,
 "Sarawut Janthapan" , ชลบุรี เอฟซี ,
 "Diego Fernando Nadaya" , "Almirante Brown" ,
 "Nurul Sriyankem" , "Chonburi F.C." ,
 "Nurul Sriyankem" , ชลบุรี เอฟซี ,
 "Cirilo Saucedo Nájera" , "Tijuana" ,
 "Leonardo Gabriel Pékarnik" , "San Telmo" ,
 "Sacha Petshi" , "CA Bastia" ,
 "Andres Gurrieri" , "Tristán Suárez" ,
 "Gustavo Daniel Ruiz Díaz" , "Brown" ,
 "Gastón Alejandro Sessa" , "Villa San Carlos" ,
